,Country Name,Country Code,Year,Birth Rate,Population_male,Population_female,Population_total,Median_age,Human Development Index,PM2.5_pollution,Urban population rate,Death_Rate,Population_15_64_rate,Population_65_above,Cotisation sociale,Life_expectancy_in_years,gov_health_exp_as_perc_of_gdp,undernourished_population_rate,population_rate_with_water_access,mortality_cvd_crd_cancer_diabete_30_70,uhc_service_coverage,population_growth_rate,Female_employment_rate,GDP per Capita,female_population_rate_15to44
1020,Tonga,TON,2006,28.731,53893,52297,106190,19.8,0.703,,23.184,6.627,59432.0,6039.0,,69.894,2.85051656,,98.2169550462649,25.9,,0.525911996154802,43.015,2751.96028250318,43.64208271985009
1021,Trinidad and Tobago,TTO,2006,15.087,680461,696458,1376919,28.6,0.767,,54.779,6.744,996295.0,81529.0,,71.256,1.86406863,10.7,94.3515490612168,23.6,,0.571306516699516,48.682,13340.916273498,50.46826192802586
1022,Tunisia,TUN,2006,16.916,5229676,5253882,10483558,26.2,0.7,,65.524,5.007,7182298.0,646353.0,,74.921,2.68162847,4.3,90.8728219523406,17.5,,0.912371670625613,20.746,3279.10281991951,52.058592103895805
1023,Tanzania,TZA,2006,41.747,20010132,20551919,40562052,16.4,0.456,,25.478,10.522,21288510.0,1125281.0,,56.911,2.37998843,25.6,37.4799927901342,19.3,,2.80649707734517,83.24,472.613342285156,42.8064663254447
1024,Uganda,UGA,2006,45.363,14125371,14647855,28773227,13.8,0.466,,17.425,10.77,13727841.0,519620.0,,54.369,0.98189151,18.5,34.4326103679449,28.1,,2.91502197083402,63.021,346.768462326785,40.6177818998829
1025,Ukraine,UKR,2006,9.8,21582931,25204855,46787786,38.0,0.751,,67.969,16.2,32472541.0,7601815.0,35.4279938132773,68.0775609756098,3.87742233,2.5,96.8250032006158,33.8,,-0.676059672626708,49.142,2391.32397460938,41.18458986115483
1026,Uruguay,URY,2006,14.837,1601733,1720550,3322282,32.0,0.768,,93.553,9.206,2082780.0,463600.0,20.5754630910926,76.362,3.69235897,2.5,97.6603940754754,18.9,,0.139067397498697,44.338,5942.12674899064,40.65337847007597
1027,United States,USA,2006,14.3,146996229,151383683,298379912,35.3,0.904,,80.099,8.1,200387285.0,37064967.0,,77.6878048780488,6.80857801,2.5,98.9038131746627,15.7,,0.964253917136075,55.605,46302.0008800056,41.31573284590509
1028,Uzbekistan,UZB,2006,21.0,13224211,13264039,26488250,22.2,0.644,,49.021,5.3,16813891.0,1291920.0,,67.891,1.9279021,12.7,90.1922191902214,32.8,,1.22021635439699,42.586,654.283837283285,49.65539012313651
1029,Vanuatu,VUT,2006,31.85,112974,109949,222923,18.3,0.584,,23.392,5.793,124916.0,8164.0,,69.462,2.14605188,6.4,84.4565689198112,40.4,,2.40208573602407,59.595,1970.8984112702,46.41833941190915
1030,Samoa,WSM,2006,28.905,97754,91624,189379,19.0,0.703,,20.981,5.169,104323.0,8903.0,,72.021,3.53131747,3.2,87.5902548209258,32.9,,0.39840795546279,38.438,2639.80566895345,41.92023923862744
1031,South Africa,ZAF,2006,22.455,23696246,25795511,49491756,22.5,0.637,,60.077,13.234,32331020.0,2242084.0,,54.278,3.23011708,3.5,87.6937845213008,32.4,,0.963593457802097,40.984,6139.58161766664,50.19664759106051
1032,Zambia,ZMB,2006,44.014,5827393,6144175,11971567,15.1,0.484,,37.395,11.933,6075107.0,227695.0,,51.795,1.72526324,53.3,53.5051766623271,30.0,,3.45623668042667,45.245,1065.59641685012,43.73047184776407
1033,Zimbabwe,ZWE,2006,34.501,5818877,6511613,12330490,17.3,0.452,,33.926,16.436,6753503.0,357199.0,,45.364,,29.3,69.6388051052948,27.0,,0.861222619917424,57.915,441.498796884795,47.42250095502457
1034,Afghanistan,AFG,2007,43.858,13067961,12835340,25903301,14.1,0.424,,23.113,9.359,12433299.0,597256.0,0.256423478216745,59.111,0.55994755,28.6,41.0836738960922,40.1,,1.79319572747206,14.019,376.318296441543,39.577394894774685
1035,Angola,AGO,2007,46.29,10289510,10620174,20909684,15.9,0.475,,57.524,13.133,10798883.0,544990.0,2.13992556016837,53.642,1.72198772,46.7,47.9614692762391,25.7,,3.63958930439587,73.417,3121.34873520681,42.14022095399655
1036,Albania,ALB,2007,12.07,1481621,1488396,2970017,30.4,0.73,,48.902,6.318,1956736.0,312345.0,,77.549,2.43571401,8.3,90.0041903832584,21.2,,-0.75571875541991,38.439,3595.03829536404,44.66428484503689
1037,United Arab Emirates,ARE,2007,14.24,4181088,1691536,5872624,26.2,0.831,,83.023,1.229,4901766.0,25463.0,,77.129,1.50538909,7.9,99.7430408853506,22.5,,18.1279839755253,36.525,43918.3801694265,67.37515488881107
1038,Argentina,ARG,2007,18.005,19685381,20190731,39876111,28.2,0.817,,90.366,7.748,25253207.0,4074276.0,,75.006,4.25491619,3.4,97.8403601049127,18.8,,1.00629733064648,43.766,7210.59554755899,43.16690522910997
1039,Armenia,ARM,2007,12.578,1396993,1607400,3004393,30.6,0.738,,63.739,9.117,2052254.0,333888.0,,72.327,1.61389112,7.1,97.2683671383451,25.3,,-0.732665962263764,49.061,3064.27996263859,46.766347279349475
1040,Australia,AUS,2007,14.1,10352205,10475417,20827622,35.8,0.915,,84.822,6.7,14049608.0,2730447.0,,81.2926829268293,5.87543869,2.5,99.8212541640962,10.6,,1.82499679529254,55.281,41051.6120652288,41.99480797441756
1041,Austria,AUT,2007,9.2,4036230,4259257,8295487,39.7,0.896,,58.249,9.0,5598503.0,1410610.0,,80.1804878048781,6.9392724,2.5,99.9999990816826,12.3,,0.324146535285463,50.047,46915.3374004507,40.46607963225879
1042,Azerbaijan,AZE,2007,17.7,4182354,4398946,8581300,26.4,0.706,,52.79,6.3,5905867.0,531827.0,,68.603,0.90689105,2.5,82.147139457549,30.8,,1.13385546615645,53.623,3851.33015175141,51.89316080348023
1043,Burundi,BDI,2007,46.525,3923619,4020991,7944609,15.9,0.372,,9.864,11.871,4160877.0,187834.0,,54.727,2.46383238,,54.730870293527,29.7,,3.67179220330916,79.9,170.706876502428,43.748245146532255
1044,Belgium,BEL,2007,11.7,5202866,5422833,10625700,39.5,0.908,,97.505,9.5,7013018.0,1811099.0,,79.7829268292683,6.77762508,2.5,99.9999976236059,13.1,,0.734330830765919,42.604,44319.165448813,38.69522123932867
1045,Benin,BEN,2007,40.423,4302650,4345111,8647761,16.6,0.472,,41.558,10.961,4550231.0,274030.0,,57.675,0.59594429,10.1,63.7149109429296,24.5,,2.87555724136521,67.067,944.6431721273,42.732705792786476
1046,Burkina Faso,BFA,2007,44.152,7323354,7433720,14757074,16.0,0.334,,22.996,12.633,7655353.0,401470.0,,54.375,1.43212855,16.1,54.9708726323817,25.3,,3.03278641140169,57.746,516.750328470839,42.46583809990154
1047,Bangladesh,BGD,2007,23.978,72599534,71536401,144135934,21.4,0.527,,28.237,6.793,88216600.0,6126574.0,,66.714,0.58527148,13.2,96.0570984545243,23.4,,1.05111719423699,27.544,552.338934530705,48.73458093547775
1048,Bulgaria,BGR,2007,10.0,3640438,3904900,7545338,40.5,0.774,,71.278,15.0,5176982.0,1349076.0,,72.6634146341463,3.43428993,4.6,99.537361240608,26.6,,-0.735282283991309,44.016,5888.77685220636,39.020882934359804
1049,Bahrain,BHR,2007,17.526,638061,402471,1040532,27.4,0.807,,88.488,2.108,784181.0,23158.0,,77.634,2.11737251,,99.9450971676723,21.4,,6.91804991621101,39.189,20883.5480311994,56.27697399315728
1050,Bosnia and Herzegovina,BIH,2007,9.794,1955141,2052735,4007876,36.1,0.707,,44.601,9.383,2801385.0,566051.0,,76.161,5.27355051,2.5,96.8773942746662,21.9,,-1.24500087046096,20.844,3936.93174748389,43.15538614467677
1051,Belarus,BLR,2007,10.7,4436621,5124332,9560953,37.5,0.773,,73.273,13.7,6709208.0,1436756.0,,70.2073170731707,3.99474669,2.5,98.3051427140534,30.8,,-0.458847535622636,52.495,4735.48107556066,41.628836281168105
1052,Belize,BLZ,2007,24.595,149054,148119,297173,20.1,0.685,,45.279,5.067,175198.0,11583.0,,70.655,3.1599319,6.3,91.9862777822027,17.5,,2.88259288843,37.366,5717.9296198322,47.844814491002154
1053,Bolivia,BOL,2007,26.988,4897753,4813399,9711152,20.6,0.645,,65.082,8.204,5752921.0,466278.0,,65.027,2.7755425,24.2,85.535458269738,18.3,,1.75023288737608,58.834,1351.03518185564,45.82715310190915
1054,Brazil,BRA,2007,16.372,94163019,96616434,190779453,26.9,0.704,,83.448,6.119,128555114.0,12281410.0,,72.365,3.48462701,5.6,95.6776268688402,18.4,,1.03202723327326,48.204,7323.19159375818,48.83080708609055
1055,Barbados,BRB,2007,12.943,129595,141849,271444,34.7,0.786,,32.451,8.985,185449.0,30836.0,,75.342,3.29791284,5.1,98.3944333912566,16.8,,0.376106107267713,56.742,17219.0212345825,43.214062891042204
1056,Botswana,BWA,2007,28.563,962918,1004059,1966977,20.3,0.632,,57.928,10.935,1201411.0,62877.0,,55.732,3.12948751,22.5,78.8983728293753,33.7,,1.96495716378833,42.789,5372.34073174354,50.56254136333554
1057,Central African Republic,CAF,2007,42.776,2196084,2179485,4375569,15.8,0.351,,38.339,15.696,2287010.0,87372.0,,47.426,1.27104914,35.0,50.9129856057539,39.4,,1.8735897550277,59.378,388.477771679374,42.72784625725801
1058,Canada,CAN,2007,11.3,16300676,16588348,32889025,38.1,0.908,,80.396,7.1,22865623.0,4392084.0,21.0190975213424,80.5436585365854,6.57310772,2.5,99.2354956393385,12.2,,0.971135141368055,58.972,44659.8951408034,41.2804334637641
1059,Switzerland,CHE,2007,9.9,3705120,3845997,7551117,39.9,0.92,,73.53,8.1,5146837.0,1222961.0,,81.7414634146342,2.87561703,2.5,99.9999990806574,10.4,,0.893690977823134,57.224,64989.1553256031,40.451981813472244
1060,Chile,CHL,2007,14.301,8186994,8308544,16495538,30.6,0.801,,86.9,5.754,11202016.0,1523183.0,,77.826,2.60964298,3.2,97.602715506187,13.5,,0.980589313160657,37.659,10456.8323839064,46.33044008673482
1061,China,CHN,2007,12.1,674398683,643486317,1317885000,32.8,0.663,,45.199,6.93,958367798.0,107525766.0,,74.762,1.43417549,5.0,85.8774230526273,20.0,,0.522271866392275,63.331,2693.95873162278,51.55368304907473
1062,Cote d'Ivoire,CIV,2007,40.248,10028098,9789603,19817700,16.3,0.461,,46.071,12.364,10439527.0,497227.0,,52.97,0.58830017,18.0,71.4332608666322,26.5,,2.16087988372223,48.329,1451.232530741,44.56294318385251
1063,Cameroon,CMR,2007,40.786,9073988,9177878,18251866,16.5,0.489,,49.746,11.886,9639577.0,566539.0,,55.165,0.56892991,12.5,61.2706157127257,28.2,,2.78067096838021,75.375,1311.00296446609,43.58512085174379
1064,Colombia,COL,2007,18.173,21442913,21863668,43306582,25.3,0.71,,76.816,4.993,28438763.0,2322571.0,,73.837,4.58606243,11.3,94.014341189398,12.6,,1.23996744251378,42.559,4762.08306841743,48.330567214738
1065,Comoros,COM,2007,34.07,307665,309235,616899,16.7,0.5,,27.867,9.819,321533.0,26022.0,,60.102,0.5660063,18.7,85.8569961968811,21.9,,2.00423062675791,30.458,1289.79485002143,42.88444529960274
1066,Costa Rica,CRI,2007,16.823,2231315,2208704,4440019,26.9,0.756,,68.174,4.304,2969169.0,306709.0,29.9796454312559,78.462,4.63239908,3.7,97.1768756785301,10.1,,1.40273700394929,42.475,6055.08677887203,48.188507830836535
1067,Cuba,CUB,2007,9.921,5632650,5637238,11269887,35.8,0.775,,76.32,8.001,7865453.0,1320534.0,,77.307,9.8824482,2.5,92.7000365634027,17.3,,0.0821729969258322,40.097,4814.85487568512,46.396297832049825
1068,Cyprus,CYP,2007,11.821,539584,534289,1073873,32.0,0.848,,67.982,6.598,759663.0,113983.0,,78.81,2.31242609,7.1,99.8503882351774,11.8,,1.73158929128947,52.979,31244.92578125,47.79155101452583
1069,Czechia,CZE,2007,11.1,5040642,5258186,10298828,38.1,0.859,,73.463,10.2,7336996.0,1491494.0,,76.7243902439025,5.01563358,2.5,99.8394987580009,18.7,,0.583542205385113,46.408,18466.5479299216,41.710669260025114
1070,Germany,DEU,2007,8.3,40116978,42149394,82266372,42.0,0.921,,76.378,10.1,54364149.0,16407189.0,,79.5341463414634,7.55503988,2.5,100.0,13.5,,-0.133718572600486,47.84,41640.0808695147,37.97162290982341
1071,Djibouti,DJI,2007,28.331,430661,434536,865196,20.2,0.426,,76.853,9.643,511000.0,30378.0,,59.024,1.73555219,23.3,75.5617207584813,22.5,,2.13179519553233,10.529,980.031032399576,47.172555521930946
1072,Denmark,DNK,2007,11.7,2705030,2756409,5461438,39.0,0.911,,86.293,10.2,3608446.0,842556.0,,78.1951219512195,7.80592728,2.5,100.0,14.7,,0.443466054321374,58.108,58487.0549677696,38.39195787298874
1073,Dominican Republic,DOM,2007,21.705,4763782,4638424,9402206,23.1,0.692,,70.02,5.859,5889440.0,508490.0,,71.371,1.68479145,16.4,93.2516903933828,16.8,,1.2633758696885,36.984,4676.07905086376,47.89471596387052
1074,Algeria,DZA,2007,22.65,17330466,16653361,33983827,23.9,0.697,,65.348,4.945,22796543.0,1614916.0,,72.602,2.66687727,5.9,91.6092319914834,16.0,,1.62790867702938,10.903,3971.80348828223,53.11517596958354
1075,Ecuador,ECU,2007,22.637,7133070,7118765,14251835,22.9,0.723,,62.104,4.817,8845796.0,785869.0,,74.844,2.04557705,22.0,87.3793619728247,13.9,,1.7181335805958,49.893,3579.03224391806,46.97533912132231
1076,Spain,ESP,2007,10.9,22347342,22879460,45226803,38.1,0.858,,77.74,8.5,31152612.0,7473040.0,,80.8731707317073,5.72543097,2.5,99.9999961840366,11.8,,1.85108130845179,43.359,32591.3503065871,43.103449217435156
1077,Estonia,EST,2007,11.8,623190,717490,1340680,38.7,0.853,,68.479,13.0,908765.0,232759.0,,72.8146341463415,3.74054933,2.5,98.5120963651077,23.3,,-0.456188535090031,51.998,16744.5844516343,38.87280145128432
1078,Ethiopia,ETH,2007,39.51,41263931,40732253,81996185,15.6,0.38,,16.116,10.807,41904878.0,2215418.0,,56.426,1.33306754,35.0,29.2977073978485,21.8,,2.85154384116412,72.052,240.347971955032,41.69004719675091
1079,Finland,FIN,2007,11.1,2590275,2698445,5288720,40.4,0.911,,83.168,9.3,3518847.0,872000.0,,79.2634146341464,6.35544634,2.5,100.0,12.5,,0.425429832100631,53.251,48476.3927287052,36.55163800863391
1080,Fiji,FJI,2007,23.859,454459,436189,890648,23.3,0.706,,50.657,7.052,572639.0,35068.0,,66.826,2.46818185,3.5,94.9825509051552,40.9,,0.853009376352656,36.418,3793.09738500959,48.10632546900539
1081,France,FRA,2007,12.8,31008324,33013412,64021737,38.4,0.873,,77.621,8.3,41694810.0,10645333.0,41.4474974984795,81.1121951219512,7.33408451,2.5,100.0,12.2,,0.616493932446319,46.775,41557.6235648179,38.40198809356032
1082,Gabon,GAB,2007,32.685,779034,770739,1549774,19.5,0.655,,83.742,8.924,888670.0,67224.0,,62.618,1.23346996,16.0,82.7651412894162,26.6,,3.09560977258065,29.301,8036.91995564327,45.50632574710768
1083,United Kingdom,GBR,2007,12.6,30029168,31293296,61322463,38.0,0.897,,80.479,9.4,40682733.0,9744896.0,,79.4487804878049,7.03329515,2.5,99.9999996429194,13.6,,0.778666112441256,52.924,50397.6854954706,40.62852272370861
1084,Georgia,GEO,2007,13.122,1804474,2055684,3860158,34.0,0.753,,54.379,11.876,2566243.0,553412.0,,71.568,1.09324026,3.9,95.5791917774348,26.5,,-0.521646734447263,48.055,2635.36650276116,43.10357839341224
1085,Ghana,GHA,2007,33.561,11801766,11906554,23708320,18.7,0.55,,48.669,9.026,13528348.0,767680.0,,60.224,1.64301646,9.2,72.4236848411952,25.7,,2.60546378550717,65.698,1047.19942781651,46.30906221900978
1086,Guinea,GIN,2007,39.801,4676528,4870553,9547082,16.0,0.402,,32.822,12.427,4869868.0,363028.0,,55.553,0.24066733,12.9,54.949564360494,25.0,,2.29335572388692,54.676,657.993473811195,41.23442027687404
1087,Guinea-Bissau,GNB,2007,40.911,709928,740644,1450572,16.8,0.424,,38.934,12.55,773690.0,41421.0,,54.155,2.52953625,16.2,58.1805414529441,29.2,,2.54710395639989,47.131,480.438602159015,43.951112848336784
1088,Equatorial Guinea,GNQ,2007,39.767,491133,457682,948814,18.7,0.578,,61.1,11.706,544195.0,31360.0,,56.54,0.28975433,,57.1185695757547,23.0,,4.68160680952619,46.097,13776.9033327262,43.874178877669344
1089,Greece,GRC,2007,10.1,5479882,5568591,11048473,39.5,0.858,,75.199,9.9,7401422.0,2061063.0,,79.4390243902439,5.31898928,2.5,99.8537526174417,13.9,,0.254757581935775,37.021,28863.9732885018,40.90705043322123
1090,Guatemala,GTM,2007,29.195,6685344,6791673,13477017,17.9,0.59,,47.508,5.419,7432234.0,547547.0,1.96470921647301,70.1,1.97883451,18.7,89.1780157814673,15.7,,1.97596216713401,40.339,2490.74782825487,44.76918642525947
1091,Guyana,GUY,2007,22.295,376976,379546,756521,22.4,0.638,,27.343,7.16,464973.0,31775.0,,66.254,1.6837045,7.6,90.8352089032886,33.7,,-0.243714507438187,31.735,3609.90850934176,46.74841356306427
1092,Honduras,HND,2007,27.64,4007762,3916700,7924462,18.7,0.586,,49.905,4.5,4548746.0,240661.0,10.9282525475163,70.376,3.33394694,21.2,89.0924617373964,17.3,,2.28811343765187,36.123,1559.88604406996,46.80668077633199
1093,Croatia,HRV,2007,9.4,2070255,2239962,4310217,40.0,0.815,,54.651,11.798,2874124.0,761824.0,,75.7056097560976,6.41076326,2.5,98.6848785750542,19.9,,-0.0218526602655707,40.026,13762.4562630334,38.13251912211247
1094,Haiti,HTI,2007,28.175,4679659,4741167,9420826,19.7,0.499,,44.574,8.937,5545149.0,368996.0,,61.103,0.79249322,48.8,60.7392582689179,33.9,,1.65399026348443,47.971,979.599640875777,46.225290759141295
1095,Hungary,HUN,2007,9.7,4774715,5281064,10055780,38.2,0.817,,67.421,13.2,6932247.0,1602067.0,,73.1512195121951,4.88202095,2.5,99.9674348898972,25.9,,-0.154915158060948,39.598,13940.9092761999,39.43414983807863
1096,Indonesia,IDN,2007,20.954,118236404,116621886,234858289,25.8,0.643,,47.535,7.314,154568569.0,13448503.0,,68.189,1.01869869,18.5,81.881582956157,26.2,,1.31184759614566,44.85,1840.32992667702,49.19405028827113
1097,India,IND,2007,22.713,615506279,574185530,1189691809,23.1,0.553,,29.906,7.642,747505065.0,58275189.0,,65.788,0.73512709,17.2,84.2920134047185,23.1,,1.46637175001498,26.993,1022.73246704551,47.2366871146712
1098,Ireland,IRL,2007,16.2,2199761,2199181,4398942,32.3,0.896,,60.94,6.4,3036843.0,469756.0,,79.6414634146341,6.18633509,2.5,96.7535060932846,13.0,,2.89096000464164,54.161,61396.417461176,46.584408038155104
1099,Iraq,IRQ,2007,33.565,14253474,14407413,28660887,17.6,0.607,,68.873,7.214,15738850.0,881531.0,,63.553,2.03766322,17.7,87.0697457667656,27.1,,-0.850221916193164,11.374,3099.59196989479,45.19874248069382
1100,Iceland,ISL,2007,14.6,158725,152841,311566,33.6,0.909,,93.278,6.2,209875.0,35981.0,,81.4536585365854,6.85141087,2.5,100.0,10.6,,2.53008548940662,69.99,69495.7267376825,42.912378294107455
1101,Israel,ISR,2007,21.1,3548771,3631329,7180100,28.1,0.885,,91.641,5.6,4484313.0,719189.0,,80.5048780487805,4.1677165,2.5,99.9999998665515,11.5,,1.7761008691798,50.636,25633.6432169583,42.6176681307486
1102,Italy,ITA,2007,9.7,28309208,30129102,58438310,41.5,0.877,,67.974,9.8,38435856.0,11766923.0,,81.4341463414634,6.30452633,2.5,99.7370468037462,11.2,,0.504933687397673,34.981,37870.7475070969,38.44901112081246
1103,Jamaica,JAM,2007,16.673,1338676,1362545,2701221,24.2,0.697,,53.184,6.501,1769294.0,150111.0,,71.418,2.66426182,8.8,92.3410645133306,15.5,,0.42891014375515,50.962,4738.44977777995,49.56184933341653
1104,Jordan,JOR,2007,29.085,3334553,3138903,6473457,19.8,0.729,,82.371,3.625,3809585.0,211405.0,,73.373,4.5643487,,98.6953978269393,20.0,,6.34380871094335,10.729,2643.1684392965,47.069733109029976
1105,Japan,JPN,2007,8.6,62443045,65557955,128001000,43.1,0.895,,88.146,8.8,82682697.0,28084356.0,,82.5070731707317,6.32067204,2.5,98.6157654516372,9.9,,0.114908847726211,46.599,35779.0245416427,36.05719039125759
1106,Kazakhstan,KAZ,2007,20.79,7357674,8126518,15484192,27.9,0.758,,56.609,10.22,10580318.0,1158534.0,,66.34,1.79149234,5.0,92.6308557902812,35.6,,1.14385123349431,60.191,6771.41662014884,47.541937497972576
1107,Kenya,KEN,2007,38.098,18903421,19133373,38036793,16.7,0.533,,22.42,8.457,20591639.0,807632.0,,58.865,0.92616576,27.1,52.5681331555402,22.7,,2.96582480091057,68.666,840.191631882336,46.17163163024108
1108,Cambodia,KHM,2007,24.894,6775426,6939365,13714791,20.8,0.521,,19.413,6.63,8585443.0,470662.0,,65.731,0.97199386,15.6,62.2574600533449,24.5,,1.74325561857738,65.916,629.92107663841,47.80306267216093
1109,Kuwait,KWT,2007,21.929,1456556,1050213,2506769,27.7,0.802,,100.0,2.014,1859930.0,42998.0,,77.017,1.47248399,2.5,100.0,15.2,,5.88896046397853,44.695,45729.799339984,58.527916969184716
1110,Lebanon,LBN,2007,17.34,2383768,2425840,4809608,25.8,0.752,,86.901,4.093,3214519.0,280875.0,,77.08,3.51309872,,87.489194767478,20.5,,1.88355982920981,18.895,5162.03295880358,48.636863931669005
1111,Liberia,LBR,2007,40.863,1793393,1839348,3632740,17.4,0.448,,46.742,10.765,1937992.0,126475.0,,58.285,0.82278156,31.3,67.6595866966161,19.7,,5.00498279274666,70.142,377.951628798097,42.869278371813905
1112,Libya,LBY,2007,23.623,3096581,3000597,6097177,23.2,0.741,,77.437,4.504,3997344.0,235196.0,,71.863,1.62192404,5.3,90.3218587863748,19.3,,2.05147873321277,25.093,11158.1122737785,54.7138786048243
1113,Sri Lanka,LKA,2007,18.979,9844210,10234445,20078655,28.3,0.719,,18.272,7.631,13442994.0,1468595.0,1.47509134238858,72.049,1.9162128,11.8,84.8657653303278,16.9,,1.04107236247173,31.473,1611.17558723051,46.46380922463311
1114,Lesotho,LSO,2007,29.699,970360,1013106,1983465,19.4,0.452,,23.304,20.662,1165610.0,87710.0,,43.123,4.63943148,12.4,68.2373154573875,40.1,,0.337605696087044,50.072,848.077371929249,47.00660493897235
1115,Lithuania,LTU,2007,9.3,1486138,1745156,3231294,38.6,0.83,,66.777,14.1,2171963.0,551741.0,,70.9,3.79473877,2.5,92.8634415448249,26.6,,-1.187947957259,48.059,12285.4470537014,39.69945662060281
1116,Luxembourg,LUX,2007,11.4,237883,242111,479993,37.5,0.887,,87.409,8.1,325327.0,67090.0,28.1562784519071,79.3829268292683,5.25702858,2.5,99.999997621518,12.4,,1.54438684650549,45.267,107475.320297978,41.969861287557194
1117,Latvia,LVA,2007,10.9,1001767,1198558,2200325,39.4,0.82,,67.9,15.0,1490919.0,396843.0,,71.019512195122,3.3554647,2.5,98.1108519087607,28.6,,-0.816175506582982,50.177,14113.5291277327,38.890121543493535
1118,Morocco,MAR,2007,21.271,15654951,15577682,31232633,23.8,0.581,,56.317,6.068,20329423.0,1521917.0,,69.604,1.95485222,5.6,71.7467395262126,25.0,,1.28772191974814,23.602,2751.42358398438,50.0748715397731
1119,Moldova,MDA,2007,13.207,1363050,1511249,2874299,32.5,0.713,,42.713,12.21,2032173.0,310143.0,26.5573174846228,68.947,5.62990999,29.8,85.5261099407884,30.1,,-0.231718324871942,40.543,1531.21618590748,44.60992284996905
1120,Madagascar,MDG,2007,37.44,10007782,9917175,19924958,16.7,0.482,,30.043,8.257,10596803.0,548709.0,,61.757,1.88316464,30.9,41.820986961241,28.0,,2.92652452166253,80.57,427.83632916955,43.11660109272037
1121,Maldives,MDV,2007,20.554,171583,153543,325126,21.6,0.665,,35.2,3.622,214109.0,15249.0,0.0,75.686,3.91466451,,96.3039886979955,18.8,,3.35435582926146,32.607,5746.64425436129,54.64755801306475
1122,Mexico,MEX,2007,21.082,53024314,55278659,108302973,24.0,0.743,,76.92,5.302,68190845.0,6335396.0,,74.238,2.52675939,4.1,94.495124111029,16.1,,1.31623681916458,41.032,10178.4422371206,48.42791229794485
1123,North Macedonia,MKD,2007,11.1,1021926,1021632,2043559,33.5,0.711,,57.264,9.6,1417960.0,223455.0,,73.8,4.04007626,3.5,97.0727320878475,28.7,,0.16313293218841,27.555,4079.39040357019,44.31465411923737
1124,Mali,MLI,2007,47.281,7112186,6968725,14080912,15.5,0.382,,33.612,12.929,7103943.0,402927.0,,54.941,0.99671519,10.7,60.9112596868155,23.8,,3.30208691127537,59.492,579.257140881674,41.420945623414205
1125,Malta,MLT,2007,9.3,201658,205066,406724,38.5,0.837,,93.857,7.6,283635.0,58654.0,,79.7926829268293,5.45740271,2.5,100.0,12.8,,0.348755082369901,29.043,19485.8711529324,39.67617571606656
1126,Myanmar,MMR,2007,20.592,24179492,24266155,48445647,24.8,0.48,,28.319,9.409,31738144.0,2471632.0,,62.371,0.20322418,21.6,58.3838996351405,30.7,,0.740412549138029,54.15,416.600432244227,48.92190790011851
1127,Montenegro,MNE,2007,12.7,299290,316585,615875,34.2,0.787,,63.139,9.7,413380.0,79494.0,,74.3390243902439,,2.5,95.4302206036587,24.8,,0.138110347731053,33.438,5976.39414454596,42.207315440063915
1128,Mongolia,MNG,2007,21.352,1296789,1308854,2605643,23.5,0.68,,64.564,6.843,1765058.0,98487.0,,65.97,2.88185477,24.7,71.6821145354004,41.5,,0.940879931171425,51.638,1625.31847375123,54.009347108233655
1129,Mozambique,MOZ,2007,41.105,10360896,10919618,21280513,16.2,0.377,,30.364,12.93,11104548.0,577696.0,,52.566,1.21262467,30.5,33.3535146665371,29.9,,2.59213192117964,80.211,508.044895625424,42.002634249780264
1130,Mauritania,MRT,2007,37.064,1561878,1591630,3153508,16.8,0.499,,43.89,8.275,1683874.0,97910.0,,62.228,0.76387841,7.7,52.0315948495456,17.1,,2.31869406123366,24.219,1378.21510363371,43.56601610738175
1131,Mauritius,MUS,2007,13.7,616830,622800,1239630,30.2,0.734,,41.889,6.9,861975.0,86293.0,,72.5707317073171,1.49295294,5.3,99.5507166407848,27.0,,0.455526400702738,34.365,6574.6635764099,46.56866431059979
1132,Malawi,MWI,2007,43.609,6518572,6976891,13495463,15.8,0.423,,15.235,13.496,6698379.0,574594.0,,53.946,0.73458099,18.6,59.6695187660042,27.9,,2.83448193292953,70.983,478.028076481469,41.752620060094046
1133,Malaysia,MYS,2007,17.077,13912833,13179771,27092604,23.9,0.747,,68.36,4.705,17669006.0,1292043.0,,74.211,1.62477779,3.5,96.9776304446457,19.6,,2.17608980403121,42.149,7144.00023998183,48.615478547217464
1134,Namibia,NAM,2007,29.292,974469,1037023,2011492,18.7,0.569,,38.598,12.046,1173699.0,65723.0,,53.68,4.68895483,26.1,79.4353345856474,28.5,,1.2473242341721,38.144,4394.51734135638,47.35417987555718
1135,Niger,NER,2007,49.694,7533650,7364222,14897873,14.6,0.311,,16.234,12.477,7305428.0,345479.0,,55.553,1.50168717,18.5,41.9711167865491,21.6,,3.64120636284668,67.332,384.718345483996,39.097644048641925
1136,Nigeria,NGA,2007,42.721,74620905,73673124,148294028,16.9,0.48,,40.819,15.322,78494639.0,4571506.0,,50.033,0.7786122,6.4,55.2089706747755,20.0,,2.70962693730599,54.71,1876.41303262801,42.402544531724686
1137,Nicaragua,NIC,2007,24.716,2762742,2844711,5607453,20.0,0.599,,56.328,5.105,3370580.0,205350.0,,69.559,3.15306878,21.4,80.8860732414651,15.7,,1.39429680103578,39.647,1323.83906546824,48.71167076169237
