,Country Name,Country Code,Year,Birth Rate,Population_male,Population_female,Population_total,Median_age,Human Development Index,PM2.5_pollution,Urban population rate,Death_Rate,Population_15_64_rate,Population_65_above,Cotisation sociale,Life_expectancy_in_years,gov_health_exp_as_perc_of_gdp,undernourished_population_rate,population_rate_with_water_access,mortality_cvd_crd_cancer_diabete_30_70,uhc_service_coverage,population_growth_rate,Female_employment_rate,GDP per Capita,female_population_rate_15to44
21,Barbados,BRB,2000,13.955,126860,137797,264657,32.4,0.756,22.09745927,33.827,9.47,177092.0,29652.0,,74.089,2.76476121,,98.3244234586283,17.0,54.0,0.18418126822941,55.541,11560.2459031879,46.32067461555768
22,Botswana,BWA,2000,28.961,837941,889044,1726985,18.4,0.585,24.03724388,53.219,13.128,996249.0,56120.0,,51.011,3.2540555,,75.1696350758408,38.4,35.0,2.07271158015976,40.074,3351.6965168531,48.80219651670782
23,Central African Republic,CAF,2000,43.259,1890780,1868390,3759170,15.8,0.329,45.264541,37.639,17.325,1960217.0,79486.0,,45.406,1.72009099,,59.0104896097958,41.7,18.0,2.80036047898137,59.669,243.877580075298,43.47020696963698
24,Canada,CAN,2000,10.7,15193559,15492171,30685730,35.8,0.89,9.200371951,79.478,7.1,20968129.0,3831961.0,18.8661802378576,79.1668292682927,6.00890827,,99.2269903286955,14.4,74.0,0.931281553452429,55.423,24271.0020563821,43.96573341319503
25,Switzerland,CHE,2000,10.9,3510707,3673543,7184250,37.6,0.887,14.88087098,73.383,8.7,4835920.0,1099734.0,,79.6804878048781,2.60352111,,99.9999994425128,12.5,75.0,0.561954617400164,55.835,38865.021939688,41.36131649322531
26,Chile,CHL,2000,15.963,7627655,7724143,15351799,27.9,0.763,22.20915288,86.073,4.959,10010039.0,1225549.0,,76.87,2.51822186,,95.7491208421222,14.3,65.0,1.14904172536735,33.015,5102.96876066704,46.85326902932791
27,China,CHN,2000,14.03,645562937,617082063,1262645000,28.9,0.584,50.76470176,35.877,6.45,865485981.0,87382979.0,,71.881,0.99070781,,78.8969610642735,23.0,47.0,0.787956592953992,68.567,959.360431340438,50.32453499474672
28,Cote d'Ivoire,CIV,2000,44.753,8469483,8330187,16799670,16.3,0.457,59.88341803,43.155,14.291,8807997.0,436994.0,,50.842,0.58690333,,70.6328654119712,28.1,22.0,2.73825090531507,46.722,986.777352839567,44.67395509848706
29,Cameroon,CMR,2000,41.018,7488888,7602707,15091594,16.0,0.442,67.41490186,45.542,13.426,7762774.0,501058.0,,52.932,0.64510846,,56.3102137004233,28.0,22.0,2.63602726719356,72.702,700.16323623489,41.845071883282614
30,Colombia,COL,2000,22.114,19469885,19745251,39215135,23.0,0.666,28.35304869,73.957,5.351,24609531.0,1796356.0,,71.32,4.20017815,,91.9600501288055,15.1,52.0,1.61983140551157,39.883,2546.85021359809,48.84374982115952
31,Comoros,COM,2000,35.895,266733,270024,536758,15.7,0.464,17.57244296,28.08,10.51,269838.0,20870.0,,58.757,0.89241081,,90.9479272603879,25.3,26.0,1.94042775607481,30.51,654.18043075023,41.66481497940925
32,Costa Rica,CRI,2000,19.788,2002605,1976587,3979193,24.5,0.71,17.96339577,59.052,3.995,2517713.0,232978.0,33.3627828856031,77.586,4.26218653,,94.4644859668649,12.9,66.0,1.97358823214158,35.835,3773.03379319679,47.9600189619784
33,Cuba,CUB,2000,12.628,5574842,5530949,11105791,32.1,0.693,20.69946783,75.323,7.244,7650864.0,1098930.0,,76.183,5.50884342,,91.7215961948775,18.2,56.0,0.32194458830191,33.135,2752.20378269319,48.09120894906184
34,Cyprus,CYP,2000,12.655,478455,469782,948237,30.6,0.797,18.48744599,68.648,7.458,642939.0,94247.0,,76.568,2.18027377,,99.8893890513179,13.1,51.0,1.77009330000432,45.015,14388.34765625,46.385770421174094
35,Czechia,CZE,2000,8.9,4992793,5262270,10255063,36.4,0.808,21.41269573,73.988,10.6,7157379.0,1409154.0,,74.9682926829268,5.05704689,,99.8061242632048,22.5,77.0,-0.280414108078884,46.071,6029.03819275358,41.64289715615101
36,Germany,DEU,2000,9.3,39980931,42230577,82211508,39.0,0.889,16.43916499,74.965,10.2,55870870.0,13509223.0,,77.9268292682927,7.73300314,,100.0,16.1,79.0,0.135431600393084,44.841,23694.7604830673,40.02037853190449
37,Djibouti,DJI,2000,33.233,368935,373098,742033,19.0,0.361,42.5053916,76.532,10.831,425829.0,23784.0,,56.573,1.4109472,,75.4481658444559,23.6,23.0,3.1016497493543,9.725,742.865697154312,46.21352327474722
38,Denmark,DNK,2000,12.6,2639463,2700153,5339616,37.3,0.889,14.54206031,85.1,10.9,3560844.0,792314.0,,76.5926829268293,6.73534012,,99.9999994057231,18.4,72.0,0.334233618829261,57.227,30743.5476816354,39.810928959320584
39,Dominican Republic,DOM,2000,24.842,4323440,4217351,8540791,21.3,0.646,17.97651855,61.753,6.169,5143126.0,405371.0,,69.423,1.71051323,,90.7924722514787,14.3,51.0,1.52687888895349,35.234,2845.84655316676,47.80656151219093
40,Algeria,DZA,2000,19.543,15698203,15076418,30774621,20.7,0.649,35.37684627,59.919,5.037,19055389.0,1305966.0,,70.478,2.51082778,,89.8488285798425,17.6,56.0,1.40229085828763,8.669,1780.37606280604,50.18076574953019
