,Country Code,Year,Life_expectancy_in_years
191,PRE,2000,51.4739360006522
192,PRI,2000,75.977
193,PRK,2000,60.763
194,PRT,2000,76.3146341463415
195,PRY,2000,69.75
196,PSE,2000,70.388
197,PSS,2000,67.3039487281314
198,PST,2000,77.3493836287602
199,PYF,2000,79.536
200,QAT,2000,74.828
201,ROU,2000,71.1634146341463
202,RUS,2000,65.4836585365854
203,RWA,2000,47.129
204,SAS,2000,62.8929661464142
205,SAU,2000,72.467
206,SDN,2000,58.319
207,SEN,2000,56.943
208,SGP,2000,77.9512195121951
209,SLB,2000,67.225
210,SLE,2000,45.05
211,SLV,2000,69.865
212,SMR,2000,0.0
213,SOM,2000,50.66
214,SRB,2000,71.5829268292683
215,SSA,2000,51.2619441016462
216,SSD,2000,46.028
217,SSF,2000,51.2645448028029
218,SST,2000,62.9101269006607
219,STP,2000,61.655
220,SUR,2000,65.508
221,SVK,2000,73.0512195121951
222,SVN,2000,75.4121951219512
223,SWE,2000,79.6439024390244
224,SWZ,2000,47.256
225,SXM,2000,74.514
226,SYC,2000,72.7780487804878
227,SYR,2000,70.764
228,TCA,2000,73.575
229,TCD,2000,47.443
230,TEA,2000,70.6924622205943
231,TEC,2000,68.379542167384
232,TGO,2000,54.742
233,THA,2000,72.316
234,TJK,2000,63.26
235,TKM,2000,65.026
236,TLA,2000,71.0789491788505
237,TLS,2000,58.568
238,TMN,2000,68.6233338932417
239,TON,2000,68.978
240,TSA,2000,62.8929661464142
241,TSS,2000,51.2645448028029
242,TTO,2000,69.102
243,TUN,2000,73.69
244,TUR,2000,71.861
245,TUV,2000,63.499
246,TZA,2000,52.362
247,UGA,2000,48.342
248,UKR,2000,67.6756097560976
249,UMC,2000,70.4669356438592
250,URY,2000,75.025
251,USA,2000,76.6365853658537
252,UZB,2000,65.724
253,VCT,2000,71.377
254,VEN,2000,72.478
255,VGB,2000,73.966
256,VIR,2000,76.619512195122
257,VNM,2000,72.462
258,VUT,2000,68.966
259,WLD,2000,67.7004016982228
260,WSM,2000,70.746
261,XKX,2000,74.072
262,YEM,2000,62.588
263,ZAF,2000,58.47
264,ZMB,2000,45.231
265,ZWE,2000,44.686
266,ABW,2001,73.647
267,AFE,2001,52.1896482143331
268,AFG,2001,55.798
269,AFW,2001,50.565144130827
270,AGO,2001,46.59
271,ALB,2001,75.639
272,AND,2001,0.0
273,ARB,2001,67.6316805976471
274,ARE,2001,74.636
275,ARG,2001,74.186
276,ARM,2001,70.932
277,ASM,2001,0.0
278,ATG,2001,75.078
279,AUS,2001,79.6341463414634
280,AUT,2001,78.5756097560976
281,AZE,2001,65.51
282,BDI,2001,48.431
283,BEL,2001,77.9731707317073
284,BEN,2001,56.66
285,BFA,2001,51.071
286,BGD,2001,66.135
287,BGR,2001,71.7682926829268
288,BHR,2001,75.908
289,BHS,2001,72.11
290,BIH,2001,75.06
291,BLR,2001,68.5073170731707
292,BLZ,2001,68.357
293,BMU,2001,79.871
294,BOL,2001,62.843
295,BRA,2001,70.195
296,BRB,2001,74.247
297,BRN,2001,74.276
298,BTN,2001,63.444
299,BWA,2001,50.676
300,CAF,2001,45.393
301,CAN,2001,79.3980487804878
302,CEB,2001,73.0961481937343
303,CHE,2001,80.1804878048781
304,CHI,2001,79.277
305,CHL,2001,76.773
306,CHN,2001,72.606
307,CIV,2001,50.81
308,CMR,2001,53.142
309,COD,2001,52.116
310,COG,2001,54.395
311,COL,2001,71.502
312,COM,2001,59.163
313,CPV,2001,69.929
314,CRI,2001,77.545
315,CSS,2001,69.7013628300102
316,CUB,2001,76.421
317,CUW,2001,73.110756097561
318,CYM,2001,0.0
319,CYP,2001,76.989
320,CZE,2001,75.1731707317073
321,DEU,2001,78.3292682926829
322,DJI,2001,56.903
323,DMA,2001,71.713
324,DNK,2001,76.7926829268293
325,DOM,2001,69.642
326,DZA,2001,70.823
327,EAP,2001,71.1532923501957
328,EAR,2001,64.8163549856725
329,EAS,2001,72.1129509335254
330,ECA,2001,67.7489930065596
331,ECS,2001,73.3925992458532
332,ECU,2001,73.24
333,EGY,2001,68.308
334,EMU,2001,78.5936835934989
335,ERI,2001,58.298
336,ESP,2001,79.3682926829268
337,EST,2001,70.2585365853659
338,ETH,2001,51.043
339,EUU,2001,77.4229501748974
340,FCS,2001,55.7223463368937
341,FIN,2001,77.9658536585366
342,FJI,2001,66.34
343,FRA,2001,79.1585365853659
344,FRO,2001,78.6414634146341
345,FSM,2001,70.479
346,GAB,2001,61.27
347,GBR,2001,77.9926829268293
348,GEO,2001,69.606
349,GHA,2001,58.107
350,GIB,2001,81.087
351,GIN,2001,52.662
352,GMB,2001,57.043
353,GNB,2001,50.445
354,GNQ,2001,53.636
355,GRC,2001,78.3878048780488
356,GRD,2001,73.118
357,GRL,2001,66.7348780487805
358,GTM,2001,67.946
359,GUM,2001,75.41
360,GUY,2001,64.788
361,HIC,2001,77.7519686321101
362,HKG,2001,81.4243902439025
363,HND,2001,69.006
364,HPC,2001,53.1310992050947
365,HRV,2001,74.5129268292683
366,HTI,2001,58.489
367,HUN,2001,72.2487804878049
368,IBD,2001,68.6546066926548
369,IBT,2001,66.0848900924114
370,IDA,2001,57.0167286840859
371,IDB,2001,56.0286057591218
372,IDN,2001,66.758
373,IDX,2001,57.5121871826401
374,IMN,2001,75.51
375,IND,2001,63.091
376,INX,2001,0.0
377,IRL,2001,77.1341463414634
378,IRN,2001,69.955
379,IRQ,2001,67.034
380,ISL,2001,80.690243902439
381,ISR,2001,79.4073170731707
382,ITA,2001,80.1268292682927
383,JAM,2001,70.758
384,JOR,2001,72.147
385,JPN,2001,81.4163414634146
386,KAZ,2001,65.76
387,KEN,2001,54.508
388,KGZ,2001,68.7073170731707
389,KHM,2001,59.966
390,KIR,2001,64.655
391,KNA,2001,70.2
392,KOR,2001,76.4121951219512
393,KWT,2001,76.891
394,LAC,2001,71.2545331983992
395,LAO,2001,59.07
396,LBN,2001,74.365
397,LBR,2001,52.752
398,LBY,2001,70.861
399,LCA,2001,71.135
400,LCN,2001,71.487118219397
401,LDC,2001,56.2735989338454
402,LIC,2001,53.7294754409128
403,LIE,2001,79.2756097560976
404,LKA,2001,70.787
405,LMC,2001,62.7762216640278
406,LMY,2001,65.92539847579
407,LSO,2001,46.849
408,LTE,2001,71.6240722168429
409,LTU,2001,71.6585365853659
410,LUX,2001,77.8243902439025
411,LVA,2001,70.7609756097561
412,MAC,2001,81.179
413,MAF,2001,76.847
414,MAR,2001,67.18
415,MCO,2001,0.0
416,MDA,2001,66.787
417,MDG,2001,58.57
418,MDV,2001,72.181
419,MEA,2001,69.6311315403224
420,MEX,2001,73.867
421,MHL,2001,63.642
422,MIC,2001,66.94506391915
423,MKD,2001,73.4365853658537
424,MLI,2001,51.284
425,MLT,2001,78.8439024390244
426,MMR,2001,60.416
427,MNA,2001,68.9732952175763
428,MNE,2001,74.0694146341464
429,MNG,2001,63.279
430,MNP,2001,0.0
431,MOZ,2001,50.065
432,MRT,2001,61.185
433,MUS,2001,71.7658536585366
434,MWI,2001,45.895
435,MYS,2001,73.344
436,NAC,2001,77.088596040168
437,NAM,2001,51.26
438,NCL,2001,74.8317073170732
439,NER,2001,49.841
440,NGA,2001,47.619
441,NIC,2001,67.215
442,NLD,2001,78.190243902439
