,economy,Year,population_growth_rate
3258,ECU,2012,1.60252187198822
3524,ECU,2013,1.5324232376039
3790,ECU,2014,1.48359860231919
4056,ECU,2015,1.47983523757956
4322,ECU,2016,1.49338987255655
4588,ECU,2017,1.55335626648726
4854,ECU,2018,1.89090930713133
5120,ECU,2019,1.90968326333656
5386,ECU,2020,1.40190462603926
5652,ECU,2021,1.18206337539033
67,EGY,2000,2.07183470577985
333,EGY,2001,2.0564198428314
599,EGY,2002,2.09110329331686
865,EGY,2003,2.08785646198219
1131,EGY,2004,2.03166566101876
1397,EGY,2005,1.98334143708702
1663,EGY,2006,1.94660064062847
1929,EGY,2007,1.95167431348286
2195,EGY,2008,1.95838290327697
2461,EGY,2009,1.95615522230144
2727,EGY,2010,2.02763965508429
2993,EGY,2011,2.20764281063758
3259,EGY,2012,2.26158734403113
3525,EGY,2013,2.31570750353087
3791,EGY,2014,2.34379305041137
4057,EGY,2015,2.20525980686911
4323,EGY,2016,2.08630284573945
4589,EGY,2017,1.98976849465685
4855,EGY,2018,1.89893076814734
5121,EGY,2019,1.79400212546566
5387,EGY,2020,1.73312957205986
5653,EGY,2021,1.65838367949689
68,EMU,2000,0.328616767600721
334,EMU,2001,0.385206708498046
600,EMU,2002,0.489563280946228
866,EMU,2003,0.543991380456646
1132,EMU,2004,0.551497494659742
1398,EMU,2005,0.517747223369184
1664,EMU,2006,0.467742661684539
1930,EMU,2007,0.520106085823514
2196,EMU,2008,0.489816298995251
2462,EMU,2009,0.325273008848399
2728,EMU,2010,0.2367483554806
2994,EMU,2011,-0.216934433022828
3260,EMU,2012,0.220838544151732
3526,EMU,2013,0.34079103938393
3792,EMU,2014,0.343319319795924
4058,EMU,2015,0.303628560762263
4324,EMU,2016,0.292998233434247
4590,EMU,2017,0.216332911315661
4856,EMU,2018,0.240025320613142
5122,EMU,2019,0.113304728919502
5388,EMU,2020,0.134533310515209
5654,EMU,2021,0.0450256475360504
69,ERI,2000,1.53299543125693
335,ERI,2001,2.84467152232301
601,ERI,2002,3.41382758677749
867,ERI,2003,4.07554152440981
1133,ERI,2004,4.0529646475642
1399,ERI,2005,2.45208243654581
1665,ERI,2006,1.69340467080078
1931,ERI,2007,1.58711319244676
2197,ERI,2008,2.68430517830464
2463,ERI,2009,2.56543695688394
2729,ERI,2010,2.04894664970192
2995,ERI,2011,1.88330360533393
3261,ERI,2012,1.39398056061833
3527,ERI,2013,1.33675062099253
3793,ERI,2014,0.817492473750786
4059,ERI,2015,0.49767257206961
4325,ERI,2016,0.754064581294597
4591,ERI,2017,0.935971649156141
4857,ERI,2018,1.41594960093608
5123,ERI,2019,1.53927354632927
5389,ERI,2020,1.61739994313834
5655,ERI,2021,1.7961013366299
70,ESP,2000,0.447137014535835
336,ESP,2001,0.694068084334464
602,ESP,2002,1.41259540475782
868,ESP,2003,1.80845446818345
1134,ESP,2004,1.7254663034483
1400,ESP,2005,1.68934904712031
1666,ESP,2006,1.69035255626114
1932,ESP,2007,1.85108130845179
2198,ESP,2008,1.59533049906372
2464,ESP,2009,0.88573598057307
2730,ESP,2010,0.460408305051304
2996,ESP,2011,0.355338396471428
3262,ESP,2012,0.0649259625617232
3528,ESP,2013,-0.327669039579687
3794,ESP,2014,-0.298951059088036
4060,ESP,2015,-0.077588861590047
4326,ESP,2016,0.0844301500680736
4592,ESP,2017,0.234587922968563
4858,ESP,2018,0.437982993728698
5124,ESP,2019,0.717715637103499
5390,ESP,2020,0.488502131838585
5656,ESP,2021,0.105706398137095
71,EST,2000,0.483707161729931
337,EST,2001,-0.63696312445507
603,EST,2002,-0.633433796423808
869,EST,2003,-0.627622448059203
1135,EST,2004,-0.597820510395586
1401,EST,2005,-0.572255524659659
1667,EST,2006,-0.589655559840225
1933,EST,2007,-0.456188535090031
2199,EST,2008,-0.268133719541207
2465,EST,2009,-0.192768077420229
2731,EST,2010,-0.22805796852935
2997,EST,2011,-0.303582823643979
3263,EST,2012,-0.357944411443807
3529,EST,2013,-0.355891802625531
3795,EST,2014,-0.262256175097854
4061,EST,2015,0.0655525295417938
4327,EST,2016,0.0291122255540077
4593,EST,2017,0.121070631466687
4859,EST,2018,0.348039137980543
5125,EST,2019,0.371554389037477
5391,EST,2020,0.197559185177642
5657,EST,2021,0.105996956310127
72,ETH,2000,2.95880518919236
338,ETH,2001,2.92127105923873
604,ETH,2002,2.93296991314103
870,ETH,2003,2.90590770385319
1136,ETH,2004,2.87241402666675
1402,ETH,2005,2.83962299391293
1668,ETH,2006,2.82672932299161
1934,ETH,2007,2.85154384116412
2200,ETH,2008,2.83863160180599
2466,ETH,2009,2.80357593483215
2732,ETH,2010,2.82098186260834
2998,ETH,2011,2.85029677836164
3264,ETH,2012,2.82765624318832
3530,ETH,2013,2.74962070654197
3796,ETH,2014,2.70542811266671
4062,ETH,2015,2.69539316663887
4328,ETH,2016,2.71605397227228
4594,ETH,2017,2.72133142564532
4860,ETH,2018,2.67332102071494
5126,ETH,2019,2.656010133459
5392,ETH,2020,2.65485915620519
5658,ETH,2021,2.60431928274974
73,EUU,2000,0.119792808014381
339,EUU,2001,0.132221957877434
605,EUU,2002,0.229815700555463
871,EUU,2003,0.356620011502898
1137,EUU,2004,0.375805315025417
1403,EUU,2005,0.354898003333972
1669,EUU,2006,0.324716649188133
1935,EUU,2007,0.336192686903146
2201,EUU,2008,0.321138460874366
2467,EUU,2009,0.236948272598767
2733,EUU,2010,0.140162304821075
2999,EUU,2011,-0.177299846396082
3265,EUU,2012,0.147512641307301
3531,EUU,2013,0.243827264206573
3797,EUU,2014,0.249764418867571
4063,EUU,2015,0.218367448560628
4329,EUU,2016,0.21264770118772
4595,EUU,2017,0.157067514488872
4861,EUU,2018,0.176129820701604
5127,EUU,2019,0.0818993510306854
5393,EUU,2020,0.0726749762925749
5659,EUU,2021,-0.11447929366399
74,FCS,2000,2.25004229908427
340,FCS,2001,2.25056623494714
606,FCS,2002,2.45912273466773
872,FCS,2003,2.52538084791306
1138,FCS,2004,2.42824810181655
1404,FCS,2005,2.43270466504291
1670,FCS,2006,2.4259693191207
1936,FCS,2007,2.36211050032091
2202,FCS,2008,2.4111897454073
2468,FCS,2009,2.49418353621971
2734,FCS,2010,2.49058119346482
3000,FCS,2011,2.44876067895842
3266,FCS,2012,2.46046561928223
3532,FCS,2013,2.4466744446385
3798,FCS,2014,2.34171123060258
4064,FCS,2015,2.26598909312168
4330,FCS,2016,2.26351497573707
4596,FCS,2017,2.24900117785984
4862,FCS,2018,2.21465656149181
5128,FCS,2019,2.24893833156924
5394,FCS,2020,2.29483413558913
5660,FCS,2021,2.25071554114066
75,FIN,2000,0.2076065154133
341,FIN,2001,0.227687341886374
607,FIN,2002,0.242381050233372
873,FIN,2003,0.238457240068217
1139,FIN,2004,0.290350361518584
1405,FIN,2005,0.342248594286999
1671,FIN,2006,0.383777136305104
1937,FIN,2007,0.425429832100631
2203,FIN,2008,0.465549284507694
2469,FIN,2009,0.478246393482911
2735,FIN,2010,0.457494535465831
3001,FIN,2011,0.463558707499131
3267,FIN,2012,0.475809486683209
3533,FIN,2013,0.460723772785295
3799,FIN,2014,0.413560207519414
4065,FIN,2015,0.329383885818507
4331,FIN,2016,0.287421401687637
4597,FIN,2017,0.234670531705453
4863,FIN,2018,0.132641040791912
5129,FIN,2019,0.110191690491055
5395,FIN,2020,0.143641197212847
5661,FIN,2021,0.207288594407348
76,FJI,2000,1.09752051437681
342,FJI,2001,1.05280543999033
608,FJI,2002,1.01360189605196
874,FJI,2003,0.985257329508455
1140,FJI,2004,0.972529404319471
1406,FJI,2005,0.94499091797119
1672,FJI,2006,0.928331143605677
1938,FJI,2007,0.853009376352656
2204,FJI,2008,0.680664088099223
2470,FJI,2009,0.517432196093315
2736,FJI,2010,0.419141607071656
3002,FJI,2011,0.351360475814814
3268,FJI,2012,0.297238780271001
3534,FJI,2013,0.262426487072664
3800,FJI,2014,0.230397589525045
4066,FJI,2015,0.178965105930181
4332,FJI,2016,0.127589742794731
4598,FJI,2017,0.0705348376627642
4864,FJI,2018,-0.0025026999236921
5130,FJI,2019,-0.0577971466911964
5396,FJI,2020,0.212846220439299
5662,FJI,2021,0.45397664568484
77,FRA,2000,0.686782586857032
343,FRA,2001,0.729430789508821
609,FRA,2002,0.728746206873967
875,FRA,2003,0.710448089652969
1141,FRA,2004,0.735098067563242
1407,FRA,2005,0.749918325024531
1673,FRA,2006,0.693706612114177
1939,FRA,2007,0.616493932446319
2205,FRA,2008,0.557563757631959
2471,FRA,2009,0.513102876178491
2737,FRA,2010,0.492821125690305
3003,FRA,2011,0.482694781758347
3269,FRA,2012,0.483953489768883
3535,FRA,2013,0.516539661307546
3801,FRA,2014,0.46824634207038
4067,FRA,2015,0.355569240058298
4333,FRA,2016,0.263868788565368
4599,FRA,2017,0.29020211635109
4865,FRA,2018,0.358494581816163
5131,FRA,2019,0.341374143157509
5397,FRA,2020,0.271350507669993
5663,FRA,2021,0.263854757064606
78,FRO,2000,1.00591847845505
344,FRO,2001,1.27307089045739
610,FRO,2002,1.22075921220517
876,FRO,2003,1.22924959571133
1142,FRO,2004,1.25183798931429
1408,FRO,2005,0.627338991367072
1674,FRO,2006,0.0455467690371607
1940,FRO,2007,0.0993028196710854
2206,FRO,2008,0.103335684804041
2472,FRO,2009,0.0371747216177147
2738,FRO,2010,-0.0392403891899056
3004,FRO,2011,-0.0495888270007087
3270,FRO,2012,0.0123995123017319
3536,FRO,2013,0.0537134606447883
3802,FRO,2014,0.0970242533510219
4068,FRO,2015,0.721624002974263
4334,FRO,2016,1.39145416003308
4600,FRO,2017,1.46397881873087
4866,FRO,2018,1.43304325187036
5132,FRO,2019,1.41473188516849
5398,FRO,2020,1.41026007721943
5664,FRO,2021,0.900256782879419
79,FSM,2000,0.152297026498527
345,FSM,2001,0.213720197420152
611,FSM,2002,0.0392962405699845
877,FSM,2003,-0.167115773241494
1143,FSM,2004,-0.328790000684937
1409,FSM,2005,-0.447886780617126
1675,FSM,2006,-0.577652222559237
1941,FSM,2007,-0.699624839506227
2207,FSM,2008,-0.758815202826041
2473,FSM,2009,-0.772033459891083
2739,FSM,2010,-0.259914003442924
3005,FSM,2011,0.277526573301423
3271,FSM,2012,0.319268822321146
3537,FSM,2013,0.347720569318122
3803,FSM,2014,0.381376448431569
4069,FSM,2015,0.400941558500249
4335,FSM,2016,0.422085800331518
4601,FSM,2017,0.45835209921657
4867,FSM,2018,0.450852095694507
5133,FSM,2019,0.404844283265269
5399,FSM,2020,0.650605243674555
5665,FSM,2021,0.910158700223977
80,GAB,2000,2.55979388649606
346,GAB,2001,2.60954321589185
612,GAB,2002,2.65137953739362
878,GAB,2003,2.69874699554435
1144,GAB,2004,2.76976312159116
1410,GAB,2005,2.86881302760127
1676,GAB,2006,2.98452993581194
1942,GAB,2007,3.09560977258065
2208,GAB,2008,3.18807653024551
2474,GAB,2009,3.2929774631171
2740,GAB,2010,3.42197068660406
3006,GAB,2011,3.52516187757304
3272,GAB,2012,3.55822259981442
3538,GAB,2013,3.50515739344233
3804,GAB,2014,3.34110410137597
4070,GAB,2015,3.08691638355563
4336,GAB,2016,2.80421210921345
4602,GAB,2017,2.55591859788162
4868,GAB,2018,2.39135522463594
5134,GAB,2019,2.28985536531904
5400,GAB,2020,2.19563704311712
5666,GAB,2021,2.09798810279019
81,GBR,2000,0.357300887421605
347,GBR,2001,0.384975969564228
613,GBR,2002,0.423337079636281
879,GBR,2003,0.465641113602993
1145,GBR,2004,0.568943113421317
1411,GBR,2005,0.68661130607346
1677,GBR,2006,0.73504867842129
1943,GBR,2007,0.778666112441256
2209,GBR,2008,0.787032622318939
2475,GBR,2009,0.756390859593407
2741,GBR,2010,0.783888646646516
3007,GBR,2011,0.781506562236639
3273,GBR,2012,0.695353132322269
3539,GBR,2013,0.669740535540783
3805,GBR,2014,0.736463978721671
4071,GBR,2015,0.792367505802859
4337,GBR,2016,0.757874492811929
4603,GBR,2017,0.679374473924223
4869,GBR,2018,0.605929132212552
5135,GBR,2019,0.564131113399897
5401,GBR,2020,0.365758263815142
5667,GBR,2021,-0.0819253049161613
82,GEO,2000,-1.9446291567975
348,GEO,2001,-1.55123839698929
614,GEO,2002,-0.89725367267161
880,GEO,2003,-0.675365805865971
1146,GEO,2004,-0.619262410024726
1412,GEO,2005,-0.635292218459481
1678,GEO,2006,-0.568484712403705
1944,GEO,2007,-0.521646734447263
2210,GEO,2008,-0.303790529341209
2476,GEO,2009,-0.888185042750245
2742,GEO,2010,-0.729475256932528
3008,GEO,2011,-0.802164039694326
3274,GEO,2012,-0.736565518814038
3540,GEO,2013,-0.300972141406188
3806,GEO,2014,0.0469539002549217
4072,GEO,2015,0.157481405176007
4338,GEO,2016,0.0598165991047394
4604,GEO,2017,0.0133860746662629
4870,GEO,2018,-0.0390365463489613
5136,GEO,2019,-0.171565740223868
5402,GEO,2020,0.0686562494680967
5668,GEO,2021,-0.379636607027231
83,GHA,2000,2.51651873851715
349,GHA,2001,2.65976868907588
615,GHA,2002,2.74837991725016
881,GHA,2003,2.71443282052613
1147,GHA,2004,2.66890927022094
1413,GHA,2005,2.65989488010389
1679,GHA,2006,2.63916146161943
1945,GHA,2007,2.60546378550717
2211,GHA,2008,2.57232722220713
2477,GHA,2009,2.53550492031822
2743,GHA,2010,2.46999616717291
3009,GHA,2011,2.43818163019966
3275,GHA,2012,2.46059584044277
3541,GHA,2013,2.45242725553535
3807,GHA,2014,2.40764489206261
4073,GHA,2015,2.36426975910316
4339,GHA,2016,2.33938325896993
4605,GHA,2017,2.23494542871956
4871,GHA,2018,2.1226797659381
5137,GHA,2019,2.08893118401294
5403,GHA,2020,2.06626880077022
5669,GHA,2021,2.00774487031161
84,GIB,2000,0.16595717785441
350,GIB,2001,-0.0721214556522241
616,GIB,2002,0.614966065167533
882,GIB,2003,1.45572303551829
1148,GIB,2004,1.45573190002895
1414,GIB,2005,1.51719659598826
1680,GIB,2006,1.47086509948869
1946,GIB,2007,1.37289637701367
2212,GIB,2008,1.33127773351264
2478,GIB,2009,1.37545661279669
2744,GIB,2010,1.42719195710431
3010,GIB,2011,1.39449236537241
3276,GIB,2012,1.43752181837621
3542,GIB,2013,0.777442704117801
3808,GIB,2014,0.126420318087511
4074,GIB,2015,0.209321014679146
4340,GIB,2016,0.13828073187548
4606,GIB,2017,0.113554418573327
4872,GIB,2018,0.140996191940677
5138,GIB,2019,0.113265896118834
5404,GIB,2020,0.0734012327661469
5670,GIB,2021,-0.122365336936279
85,GIN,2000,1.96313638467112
351,GIN,2001,1.29599678025488
617,GIN,2002,1.55168555991374
883,GIN,2003,2.24174813408231
1149,GIN,2004,2.12923941806619
1415,GIN,2005,1.9786677950531
1681,GIN,2006,2.06291427897393
1947,GIN,2007,2.29335572388692
2213,GIN,2008,2.40819421004136
2479,GIN,2009,2.43976227038861
2745,GIN,2010,2.45827846352306
3011,GIN,2011,2.47131110815721
3277,GIN,2012,2.44875299812511
3543,GIN,2013,2.44231614129791
3809,GIN,2014,2.48293200818758
4075,GIN,2015,2.54927671891363
4341,GIN,2016,2.58950004128743
4607,GIN,2017,2.56349381271807
4873,GIN,2018,2.53344244221774
5139,GIN,2019,2.5376470778001
5405,GIN,2020,2.51225012110646
5671,GIN,2021,2.44431721949133
86,GMB,2000,2.89642334291935
352,GMB,2001,2.87370974027546
618,GMB,2002,2.85020452877525
884,GMB,2003,2.85169300452624
1150,GMB,2004,2.89265160161859
1416,GMB,2005,2.94240520384811
1682,GMB,2006,3.02105449420899
1948,GMB,2007,3.08345897475552
2214,GMB,2008,3.10498597160244
2480,GMB,2009,3.11364851085582
2746,GMB,2010,3.10116024088171
3012,GMB,2011,3.09704342340045
3278,GMB,2012,3.09453140006576
3544,GMB,2013,3.05120587130278
3810,GMB,2014,2.9743344848207
4076,GMB,2015,2.88681938435009
4342,GMB,2016,2.80404574599256
4608,GMB,2017,2.72348534857532
4874,GMB,2018,2.64137634537543
5140,GMB,2019,2.58268676641821
5406,GMB,2020,2.56215324974841
5672,GMB,2021,2.52879318000917
87,GNB,2000,2.00021192650957
353,GNB,2001,2.1326015824877
619,GNB,2002,2.22560146575472
885,GNB,2003,2.30469146620396
1151,GNB,2004,2.35534585979133
1417,GNB,2005,2.39889276052679
1683,GNB,2006,2.46114153135878
1949,GNB,2007,2.54710395639989
2215,GNB,2008,2.57645836046792
2481,GNB,2009,2.5710829245713
2747,GNB,2010,2.58699749262038
3013,GNB,2011,2.63200843432739
3279,GNB,2012,2.67971667869759
3545,GNB,2013,2.68850117447374
3811,GNB,2014,2.6479419321498
4077,GNB,2015,2.58264954343545
4343,GNB,2016,2.51887831990535
4609,GNB,2017,2.43789093573311
4875,GNB,2018,2.37233714760758
5141,GNB,2019,2.33629046990663
5407,GNB,2020,2.27645335668636
5673,GNB,2021,2.20258924567144
88,GNQ,2000,4.47057515918696
354,GNQ,2001,4.88515477320107
620,GNQ,2002,4.73080674836867
886,GNQ,2003,4.60841901726829
1152,GNQ,2004,4.53953968288754
1418,GNQ,2005,4.5388230472664
1684,GNQ,2006,4.59840217738441
1950,GNQ,2007,4.68160680952619
2216,GNQ,2008,4.75008073899975
2482,GNQ,2009,4.78003659146047
2748,GNQ,2010,4.75608876236201
3014,GNQ,2011,4.4725181364733
3280,GNQ,2012,4.19593639444133
3546,GNQ,2013,4.12804546690893
3812,GNQ,2014,4.0367432369581
4078,GNQ,2015,3.92078547747936
4344,GNQ,2016,3.78456615093479
4610,GNQ,2017,3.63365484265393
4876,GNQ,2018,3.48160747723884
5142,GNQ,2019,3.33503679402461
5408,GNQ,2020,2.73226949782894
5674,GNQ,2021,2.37849451867221
89,GRC,2000,0.409041838238246
355,GRC,2001,0.51988446396193
621,GRC,2002,0.366566462148184
887,GRC,2003,0.238643175320258
1153,GRC,2004,0.247413542822812
1419,GRC,2005,0.293249074052818
1685,GRC,2006,0.30033180096664
1951,GRC,2007,0.254757581935775
2217,GRC,2008,0.265457836726293
2483,GRC,2009,0.263026401346927
2749,GRC,2010,0.128880432668041
3015,GRC,2011,-0.147951277402184
3281,GRC,2012,-0.540752950543684
3547,GRC,2013,-0.725120806658085
3813,GRC,2014,-0.666113290031891
4079,GRC,2015,-0.658861360878339
4345,GRC,2016,-0.415913028277122
4611,GRC,2017,-0.197783224759792
4877,GRC,2018,-0.202880238259165
5143,GRC,2019,-0.105339392724138
5409,GRC,2020,-0.214592106571664
5675,GRC,2021,-0.537756534706951
90,GRD,2000,0.568483013326884
356,GRD,2001,0.468036960036568
622,GRD,2002,0.272937296750141
888,GRD,2003,0.469187987103342
1154,GRD,2004,0.711094558594151
1420,GRD,2005,0.671613754423162
1686,GRD,2006,0.663529251217564
1952,GRD,2007,0.661840745939182
2218,GRD,2008,0.671715214592327
2484,GRD,2009,0.683128733664499
2750,GRD,2010,0.69515608509071
3016,GRD,2011,0.767833539558842
3282,GRD,2012,0.861245196984192
3548,GRD,2013,0.887245628443614
3814,GRD,2014,0.874356936993021
4080,GRD,2015,0.850810358697201
4346,GRD,2016,0.825295754248069
4612,GRD,2017,0.792907050535382
4878,GRD,2018,0.755485367413198
5144,GRD,2019,0.724563813014991
5410,GRD,2020,0.762219229220411
5676,GRD,2021,0.762873605069601
91,GRL,2000,0.178094437099469
357,GRL,2001,0.266548358613988
623,GRL,2002,0.45857426832132
889,GRL,2003,0.27519554474986
1155,GRL,2004,0.256870544844429
1421,GRL,2005,0.0421622197627189
1687,GRL,2006,-0.283179181223717
1953,GRL,2007,-0.386485846698679
2219,GRL,2008,-0.402186876651222
2485,GRL,2009,-0.0088769740229281
2751,GRL,2010,1.02802332572502
3017,GRL,2011,-0.0263631971297131
3283,GRL,2012,-0.14072121935205
3549,GRL,2013,-0.577265864735276
3815,GRL,2014,-0.333398666658893
4081,GRL,2015,-0.322038549275343
4347,GRL,2016,0.128227978389047
4613,GRL,2017,-0.0249203440297217
4879,GRL,2018,-0.265609140509557
5145,GRL,2019,0.359917714454119
5411,GRL,2020,0.252238303411568
5677,GRL,2021,0.506106194434674
92,GTM,2000,2.43394364463754
358,GTM,2001,2.40240090043075
624,GTM,2002,2.29788241650457
890,GTM,2003,2.18074524550455
1156,GTM,2004,2.12598597102736
1422,GTM,2005,2.07717063066365
1688,GTM,2006,2.02622809680574
1954,GTM,2007,1.97596216713401
2220,GTM,2008,1.92744763752889
2486,GTM,2009,1.88106343818981
2752,GTM,2010,1.83655642844003
3018,GTM,2011,1.81948775605672
3284,GTM,2012,1.77749578673149
3550,GTM,2013,1.75716769812924
3816,GTM,2014,1.72875760277972
4082,GTM,2015,1.69146509302391
4348,GTM,2016,1.65807331834237
4614,GTM,2017,1.62765379973835
4880,GTM,2018,1.60038598150372
5146,GTM,2019,1.56038604781094
5412,GTM,2020,1.51998785357799
5678,GTM,2021,1.4803168061015
93,GUM,2000,1.12562122360417
359,GUM,2001,0.830561297136285
625,GUM,2002,0.641188051128184
891,GUM,2003,0.50437600022459
1157,GUM,2004,0.378143882417747
1423,GUM,2005,0.259412995547093
1689,GUM,2006,0.148888680062194
1955,GUM,2007,0.0534243178340463
2221,GUM,2008,-0.0230660905213468
2487,GUM,2009,-0.088064262231673
2753,GUM,2010,0.197277633521513
3019,GUM,2011,0.450154139027106
3285,GUM,2012,0.447535840524607
3551,GUM,2013,0.397066313446001
3817,GUM,2014,0.292292129425125
4083,GUM,2015,0.259298371028445
4349,GUM,2016,0.218836685375473
4615,GUM,2017,0.154324682210868
4881,GUM,2018,0.0426939914692953
5147,GUM,2019,-0.0320187846270383
5413,GUM,2020,0.359326132872351
5679,GUM,2021,0.767004481277612
94,GUY,2000,0.136711368532353
360,GUY,2001,0.0998117091672832
626,GUY,2002,0.0676257087659106
892,GUY,2003,0.0314290695177204
1158,GUY,2004,-0.0181461236827469
1424,GUY,2005,-0.0940707231179221
1690,GUY,2006,-0.176802788474664
1956,GUY,2007,-0.243714507438187
2222,GUY,2008,-0.313900504723792
2488,GUY,2009,-0.384215250307409
2754,GUY,2010,-0.443706996010097
3020,GUY,2011,-0.49619379069059
3286,GUY,2012,-0.0354791980047339
3552,GUY,2013,0.46319412619233
3818,GUY,2014,0.493149307612364
4084,GUY,2015,0.52000388065714
4350,GUY,2016,0.53575873239208
4616,GUY,2017,0.547185665228521
4882,GUY,2018,2.8750028594538
5148,GUY,2019,1.67134809737405
5414,GUY,2020,-0.194366443701065
5680,GUY,2021,0.919614738982755
95,HIC,2000,0.611857021863045
361,HIC,2001,0.610670985947536
627,HIC,2002,0.614298292108501
893,HIC,2003,0.612475856199637
1159,HIC,2004,0.628649606683524
1425,HIC,2005,0.655960589314446
1691,HIC,2006,0.750133662480195
1957,HIC,2007,0.810250365886958
2223,HIC,2008,0.832832411847704
2489,HIC,2009,0.743528371475506
2755,HIC,2010,0.630157642026148
3021,HIC,2011,0.424833518757794
3287,HIC,2012,0.554040024064562
3553,HIC,2013,0.568463226504008
3819,HIC,2014,0.572885172809109
4085,HIC,2015,0.560502439889675
4351,HIC,2016,0.569985664115251
4617,HIC,2017,0.507722798113974
4883,HIC,2018,0.486827225502836
5149,HIC,2019,0.422501468255888
5415,HIC,2020,0.405185889638446
5681,HIC,2021,-0.0367872526771009
96,HKG,2000,0.881594075853745
362,HKG,2001,0.736962668138432
628,HKG,2002,0.44284682728195
894,HKG,2003,-0.197404126472125
1160,HKG,2004,0.77991856230718
1426,HKG,2005,0.436871406105885
1692,HKG,2006,0.642270482876128
1958,HKG,2007,0.859633272217027
2224,HKG,2008,0.598238786949717
2490,HKG,2009,0.215353334344996
2756,HKG,2010,0.734446396338105
3022,HKG,2011,0.672543291818633
3288,HKG,2012,1.1039579972368
3554,HKG,2013,0.401982535858444
3820,HKG,2014,0.702370950536049
4086,HKG,2015,0.851197911086988
4352,HKG,2016,0.619366345332479
4618,HKG,2017,0.768513877614955
4884,HKG,2018,0.800230596967774
5150,HKG,2019,0.739283471323064
5416,HKG,2020,-0.358932661902885
5682,HKG,2021,-0.91177674914823
97,HND,2000,2.73138300029784
363,HND,2001,2.68473415634022
629,HND,2002,2.62751491094002
895,HND,2003,2.5592129363433
1161,HND,2004,2.48929432977264
1427,HND,2005,2.42460040894439
1693,HND,2006,2.35921073577649
1959,HND,2007,2.28811343765187
2225,HND,2008,2.21289893099486
2491,HND,2009,2.14336495538161
2757,HND,2010,2.07597795876773
3023,HND,2011,2.00986802562652
3289,HND,2012,1.95084289919704
3555,HND,2013,1.89595914681821
3821,HND,2014,1.84861910603263
4087,HND,2015,1.8093624065659
4353,HND,2016,1.77333693683233
4619,HND,2017,1.73985038012617
4885,HND,2018,1.7097289071087
5151,HND,2019,1.68069668453135
5417,HND,2020,1.622836376932
5683,HND,2021,1.5351396675707
98,HPC,2000,2.7230069331732
364,HPC,2001,2.71773708996341
630,HPC,2002,2.96159999353824
896,HPC,2003,3.01880300237833
1162,HPC,2004,2.87974230932674
1428,HPC,2005,2.88520501874518
1694,HPC,2006,2.91895727409488
1960,HPC,2007,2.8253670364292
2226,HPC,2008,2.83468058271443
2492,HPC,2009,2.89024094909112
2758,HPC,2010,2.83883631175208
3024,HPC,2011,2.84869535240937
3290,HPC,2012,2.86530575050696
3556,HPC,2013,2.86125409087026
3822,HPC,2014,2.91236380531821
4088,HPC,2015,2.90285045745129
4354,HPC,2016,2.91934080264636
4620,HPC,2017,2.94426159527536
4886,HPC,2018,2.88499018468838
5152,HPC,2019,2.83680117572813
5418,HPC,2020,2.81754331814685
5684,HPC,2021,2.75516213418111
99,HRV,2000,-0.986434858645568
365,HRV,2001,-3.8476707266781
631,HRV,2002,0.0588712912047699
897,HRV,2003,0.0284699231131846
1163,HRV,2004,0.0279042785156658
1429,HRV,2005,0.128732789322745
1695,HRV,2006,0.0235231237565747
1961,HRV,2007,-0.0218526602655707
2227,HRV,2008,-0.0118794578559279
2493,HRV,2009,-0.10502751669287
2759,HRV,2010,-0.226821270818422
3025,HRV,2011,-0.345264228485821
3291,HRV,2012,-0.305655944795909
3557,HRV,2013,-0.278509062850129
3823,HRV,2014,-0.407343184777633
4089,HRV,2015,-0.824099163913538
4355,HRV,2016,-0.69838345731273
4621,HRV,2017,-1.20061016480925
4887,HRV,2018,-0.893486927711056
5153,HRV,2019,-0.554146739042888
5419,HRV,2020,-0.433210220837755
5685,HRV,2021,-4.25664890192098
100,HTI,2000,1.82614145032597
366,HTI,2001,1.79596365914658
632,HTI,2002,1.744825137965
898,HTI,2003,1.72490029683628
1164,HTI,2004,1.67941646661672
1430,HTI,2005,1.66448553299086
1696,HTI,2006,1.68016163386105
1962,HTI,2007,1.65399026348443
2228,HTI,2008,1.62585605595915
2494,HTI,2009,1.6098133370454
2760,HTI,2010,1.1468886718608
3026,HTI,2011,1.12574729606877
3292,HTI,2012,1.53746880756048
3558,HTI,2013,1.49898644905428
3824,HTI,2014,1.46596797524852
4090,HTI,2015,1.43989350727897
4356,HTI,2016,1.41082121304761
4622,HTI,2017,1.38753007437198
4888,HTI,2018,1.36113131762731
5154,HTI,2019,1.33513859245585
5420,HTI,2020,1.30291995864045
5686,HTI,2021,1.23729899666313
101,HUN,2000,-0.259764908288633
367,HUN,2001,-0.229379183308447
633,HUN,2002,-0.28475137719698
899,HUN,2003,-0.286433268128688
1165,HUN,2004,-0.221439378654807
1431,HUN,2005,-0.198878843237103
1697,HUN,2006,-0.155716484651578
1963,HUN,2007,-0.154915158060948
2229,HUN,2008,-0.17509736747488
2495,HUN,2009,-0.154908813950621
2761,HUN,2010,-0.226013875689698
3027,HUN,2011,-0.283360435946948
3293,HUN,2012,-0.516437606548041
3559,HUN,2013,-0.27536875707442
3825,HUN,2014,-0.269378767165116
4091,HUN,2015,-0.237855001984657
4357,HUN,2016,-0.295110604845478
4623,HUN,2017,-0.265860932255517
