"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Autriche","AUT","Cotisations sociales (% des revenus)","GC.REV.SOCL.ZS","","","","","","","","","","","","","29.7208423703911","30.2258852258852","30.6105218721967","32.4638668548348","32.7304808116453","33.4146533406783","34.6884590186545","34.1861782477341","34.6677041904432","34.6258432254354","35.178710667304","35.3917249305621","35.2911569687286","36.5370074771066","36.7634938184743","36.800619734676","36.1893478377941","36.8053056398128","36.5540400744831","36.3725879223432","36.4691753402723","37.458999589996","38.7671818681654","35.0133213672168","34.3740191552412","34.0647978242232","33.8860491153366","33.6523436769365","33.4102079998298","32.0158723603466","32.3045232652181","32.6673177324442","32.7196621395892","32.2249047164632","32.3135386171601","31.6892242999198","31.522197898278","32.3884424747129","32.4289586041156","32.3028662067275","32.1166934693972","32.381106030639","32.5564827151533","32.1977719536976","33.0707933201294","33.5578667615318","33.6590260060159","33.7349923775527","35.5591598204658","34.1643281284843","",
"Azerbaïdjan","AZE","Cotisations sociales (% des revenus)","GC.REV.SOCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","22.7923213839461","22.8482480034604","23.0332316902448","21.6853757737772","","","","","","","","","4.82757575145035","6.64885213018808","5.580471617477","5.1776165575687","6.29232667902278","6.73872448306811","7.40640064558602","9.70344608868128","9.10409281340638","8.45384977058642","7.37133985307242","8.24867984704435","13.81326759166","10.8398977464041","",
"Burundi","BDI","Cotisations sociales (% des revenus)","GC.REV.SOCL.ZS","","","","","","","","","","","","","","0.720491629582539","0.706963591375044","0.855297608657706","0.628334321280379","0.692393849913451","0.793072014585232","0.825916125410953","0.822681533859124","2.08747514910537","","","","","","","","","","4.47382979103093","4.74024141194441","4.90253316467192","5.7474476488561","4.87702692218171","6.26369230183072","6.61337209302326","5.57885880351333","6.43213594721648","","","","","","","","","","","","","","","","","","","","","","","",
"Belgique","BEL","Cotisations sociales (% des revenus)","GC.REV.SOCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.6311070540406","35.333073151694","34.6196290739028","34.3567042124056","34.3416105241791","33.422549562196","33.7996318088037","35.1346446273419","35.5092381985513","34.686559635349","34.181892247127","34.2933405366304","34.9205745573844","35.0436859390376","37.252196015184","35.8326755041673","35.5596955533545","35.0734295864406","34.8747519576674","34.6474573336301","36.1452194522513","36.4406871944159","35.81810115453","34.7963912043281","36.268739147092","37.6596979072773","35.5611750858755","",
"Bénin","BEN","Cotisations sociales (% des revenus)","GC.REV.SOCL.ZS","","","","","","","","","","","","","","","","","","4.63593504452593","5.50340083275144","5.70442549736094","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Cotisations sociales (% des revenus)","GC.REV.SOCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Cotisations sociales (% des revenus)","GC.REV.SOCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgarie","BGR","Cotisations sociales (% des revenus)","GC.REV.SOCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.1571944584153","23.5635181767113","29.641966189567","29.7651282668432","22.1619801477693","","","","","","","","","","","26.7311632762889","23.5167490733727","21.6764913065811","20.4529481903774","22.4720526625455","22.2353457434648","22.9105523972447","22.1255222753945","22.8526528413189","23.3825784607515","23.1433800705778","23.9776033345056","24.9166668704614","24.847705592325","24.6295054920791","27.2911871344862","27.3200704823564","",
"Bahreïn","BHR","Cotisations sociales (% des revenus)","GC.REV.SOCL.ZS","","","","","","","","","","","","","","","0","0","1.01767541510445","2.54802038416307","2.81124497991968","2.66184686164969","2.42315458828809","2.55311218784942","3.39227715626128","4.36289500509684","3.69024856596558","3.97118581455486","7.45976511526751","7.82608695652174","8.42185128983308","8.98366606170599","7.59749444332188","8.06070161608199","7.42879904401514","8.34368897567903","9.03426791277258","11.1762615493959","10.1577287066246","4.85294117647059","13.0662335318535","11.2590448625181","7.47879011434895","7.60135135135135","5.1477040070196","4.80433263452131","3.94225014961101","","","","","","","","","","","","","","","","","","",
"Bahamas","BHS","Cotisations sociales (% des revenus)","GC.REV.SOCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0456974209158362","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnie-Herzégovine","BIH","Cotisations sociales (% des revenus)","GC.REV.SOCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.1616534822936","33.1080139316109","33.2451602507135","36.7930366884972","38.87620615544","39.0023684859248","39.3801495076821","38.9215021968846","39.739390071734","39.0154454384054","39.0792056271892","39.1441242325914","38.8720484756719","38.6248991193293","39.4322030778309","41.1174020901271","40.0748050488342","39.4022852165005",
"Bélarus","BLR","Cotisations sociales (% des revenus)","GC.REV.SOCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.1864406779661","26.7289719626168","24.2681488967492","31.1777841177181","31.0272944719603","30.4257330289855","34.2570805204769","34.2823386828062","35.451450121766","38.1040310657694","40.8828777573767","36.1205118869791","34.1473686297289","33.4207602676296","31.5380191099647","30.2867733703344","28.7185385189544","32.6080556053302","37.2393023038514","33.4038091747716","34.8595198269465","39.6073423451484","39.0614264594704","34.6394667678829","33.234223801528","31.5749421889543","31.1263871558835","33.386447036901","35.8849207297661","35.2398337690264","",
"Belize","BLZ","Cotisations sociales (% des revenus)","GC.REV.SOCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0811577326999501","0.15498529423423","0.111253201993847","0.118716517648816","0.177025737703034","0.105617395806368","0.122417182920948","0.118456080849392","0.104254494906912","0.122713935890931","","2.17298842979178","2.22850676208056","","","","","","","","","0.0955284372778928","0.0823929979645028","0.0786010387920991","0.0767270975756384","0.0569634920442284","","","","","","",
"Bermudes","BMU","Cotisations sociales (% des revenus)","GC.REV.SOCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
